State,County,MCO Name,Service Category,Number of Active Patients,Number of Eligible MCO Patients,Number of Providers,Percent Of Eligible Patients Receving Services,Number of Services per Active Patient,Number of Active Patients per Provider,Calendar Year,Plan Category
Michigan,All,Hap Midwest Hp,Prenatal Ob/Gyn,633,,530,0.075240699,8.470774092,2:01,2023,Comprehensive MCO
Michigan,All,Hap Midwest Hp,Prenatal Ob/Gyn,1021,,764,0.068321734,9.732615083,2:01,2024,Comprehensive MCO
Michigan,All,Hap Midwest Hp,Prenatal Ob/Gyn,397,,289,0.032075624,4.234256927,2:01,2025,Comprehensive MCO
Michigan,All,Mclaren Hp,Prenatal Ob/Gyn,1729,,1212,0.07059448,11.02544824,2:01,2020,Comprehensive MCO
Michigan,All,Mclaren Hp,Prenatal Ob/Gyn,2212,,1173,0.066959286,10.74186257,2:01,2021,Comprehensive MCO
Michigan,All,Mclaren Hp,Prenatal Ob/Gyn,2844,,1168,0.06921729,10.95428973,3:01,2022,Comprehensive MCO
Michigan,All,Mclaren Hp,Prenatal Ob/Gyn,3928,,1215,0.071915049,10.58503055,4:01,2023,Comprehensive MCO
Michigan,All,Mclaren Hp,Prenatal Ob/Gyn,5545,,1279,0.076550334,11.50297565,5:01,2024,Comprehensive MCO
Michigan,All,Mclaren Hp,Prenatal Ob/Gyn,2327,,621,0.036176233,4.810055866,4:01,2025,Comprehensive MCO
Michigan,All,Meridian,Prenatal Ob/Gyn,4646,,1840,0.080309761,8.956091261,3:01,2020,Comprehensive MCO
Michigan,All,Meridian,Prenatal Ob/Gyn,5501,,1718,0.074926109,8.060716233,4:01,2021,Comprehensive MCO
Michigan,All,Meridian,Prenatal Ob/Gyn,6272,,1647,0.072007531,7.63536352,4:01,2022,Comprehensive MCO
Michigan,All,Meridian,Prenatal Ob/Gyn,8095,,1676,0.073558142,7.543792464,5:01,2023,Comprehensive MCO
Michigan,All,Meridian,Prenatal Ob/Gyn,10287,,1735,0.079486011,9.285311558,6:01,2024,Comprehensive MCO
Michigan,All,Meridian,Prenatal Ob/Gyn,3334,,774,0.033880737,4.335632873,5:01,2025,Comprehensive MCO
Michigan,All,Molina,Prenatal Ob/Gyn,2896,,1599,0.078346499,7.840814917,2:01,2020,Comprehensive MCO
Michigan,All,Molina,Prenatal Ob/Gyn,3929,,1537,0.077620609,7.253499618,3:01,2021,Comprehensive MCO
Michigan,All,Molina,Prenatal Ob/Gyn,4845,,1514,0.078678142,7.907120743,4:01,2022,Comprehensive MCO
Michigan,All,Molina,Prenatal Ob/Gyn,6566,,1558,0.081987888,8.202863235,5:01,2023,Comprehensive MCO
Michigan,All,Molina,Prenatal Ob/Gyn,8572,,1637,0.087747853,10.41530565,6:01,2024,Comprehensive MCO
Michigan,All,Molina,Prenatal Ob/Gyn,3024,,682,0.037725022,4.569444444,5:01,2025,Comprehensive MCO
Michigan,All,Priority Health,Prenatal Ob/Gyn,1196,,596,0.073918418,6.752508361,3:01,2020,Comprehensive MCO
Michigan,All,Priority Health,Prenatal Ob/Gyn,1925,,892,0.063065129,6.647272727,3:01,2021,Comprehensive MCO
Michigan,All,Priority Health,Prenatal Ob/Gyn,2974,,1145,0.072511825,7.019502354,3:01,2022,Comprehensive MCO
Michigan,All,Priority Health,Prenatal Ob/Gyn,4122,,1210,0.072671497,6.847646773,4:01,2023,Comprehensive MCO
Michigan,All,Priority Health,Prenatal Ob/Gyn,5716,,1379,0.077298606,7.593247026,5:01,2024,Comprehensive MCO
Michigan,All,Priority Health,Prenatal Ob/Gyn,2102,,582,0.036968642,4.31208373,4:01,2025,Comprehensive MCO
Michigan,All,Total Health Care,Prenatal Ob/Gyn,397,,622,0.064104634,7.687657431,1:02,2020,Comprehensive MCO
Michigan,All,Total Health Care,Prenatal Ob/Gyn,453,,497,0.060440294,7.713024283,1:02,2021,Comprehensive MCO
Michigan,All,United Healthcare,Prenatal Ob/Gyn,2152,,1569,0.071978059,7.31598513,2:01,2020,Comprehensive MCO
Michigan,All,United Healthcare,Prenatal Ob/Gyn,2742,,1460,0.069758567,6.970824216,2:01,2021,Comprehensive MCO
Michigan,All,United Healthcare,Prenatal Ob/Gyn,3418,,1429,0.072252991,8.282621416,3:01,2022,Comprehensive MCO
Michigan,All,United Healthcare,Prenatal Ob/Gyn,4579,,1498,0.072593814,8.414500983,4:01,2023,Comprehensive MCO
Michigan,All,United Healthcare,Prenatal Ob/Gyn,6356,,1567,0.076705848,8.966173694,5:01,2024,Comprehensive MCO
Michigan,All,United Healthcare,Prenatal Ob/Gyn,2586,,679,0.037939028,4.534029389,4:01,2025,Comprehensive MCO
Michigan,All,Upper Peninsula Hp,Prenatal Ob/Gyn,350,,119,0.062200107,5.908571429,3:01,2020,Comprehensive MCO
Michigan,All,Upper Peninsula Hp,Prenatal Ob/Gyn,427,,123,0.05815854,7.032786885,4:01,2021,Comprehensive MCO
Michigan,All,Upper Peninsula Hp,Prenatal Ob/Gyn,502,,113,0.055703506,7.476095618,5:01,2022,Comprehensive MCO
Michigan,All,Upper Peninsula Hp,Prenatal Ob/Gyn,669,,117,0.057786991,7.062780269,6:01,2023,Comprehensive MCO
Michigan,All,Upper Peninsula Hp,Prenatal Ob/Gyn,794,,106,0.063246774,7.204030227,8:01,2024,Comprehensive MCO
Michigan,All,Upper Peninsula Hp,Prenatal Ob/Gyn,188,,20,0.016690341,2.872340426,10:01,2025,Comprehensive MCO
New Mexico,All,Bcbs,Behavioral Health,15104,,3602,0.120029244,34.22980667,5:01,2020,Comprehensive MCO
New Mexico,All,Bcbs,Behavioral Health,17692,,4043,0.11813174,32.63559801,5:01,2021,Comprehensive MCO
New Mexico,All,Bcbs,Behavioral Health,22078,,4447,0.120944858,31.96856599,5:01,2022,Comprehensive MCO
New Mexico,All,Bcbs,Behavioral Health,28448,,5052,0.12488915,32.80072413,6:01,2023,Comprehensive MCO
New Mexico,All,Bcbs,Behavioral Health,40225,,5558,0.137670098,36.1233064,8:01,2024,Comprehensive MCO
New Mexico,All,Bcbs,Behavioral Health,24809,,3742,0.095394281,14.50090693,7:01,2025,Comprehensive MCO
New Mexico,All,Molina,Behavioral Health,2936,,1833,0.063962355,17.49591281,2:01,2024,Comprehensive MCO
New Mexico,All,Molina,Behavioral Health,1984,,1167,0.049321334,9.523185484,2:01,2025,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Behavioral Health,25992,,4237,0.141866114,30.68905817,7:01,2020,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Behavioral Health,29093,,4753,0.137314039,30.03825663,7:01,2021,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Behavioral Health,32864,,4981,0.129641026,29.05900073,7:01,2022,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Behavioral Health,40732,,5526,0.129261977,35.06152411,8:01,2023,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Behavioral Health,55917,,6005,0.143266718,33.26009979,10:01,2024,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Behavioral Health,32632,,3816,0.092661637,11.5936504,9:01,2025,Comprehensive MCO
New Mexico,All,United Healthcare,Behavioral Health,2487,,1646,0.056348559,18.33574588,2:01,2024,Comprehensive MCO
New Mexico,All,United Healthcare,Behavioral Health,1717,,1018,0.045809877,9.235876529,2:01,2025,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Behavioral Health,3742,,2855,0.100297515,27.25227151,2:01,2020,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Behavioral Health,4912,,3268,0.108401562,25.45765472,2:01,2021,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Behavioral Health,6104,,3461,0.10605692,23.86435125,2:01,2022,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Behavioral Health,8271,,3808,0.104507032,26.35932777,3:01,2023,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Behavioral Health,8253,,3222,0.094052354,20.60450745,3:01,2024,Comprehensive MCO
New Mexico,All,Bcbs,Pediatric Dental,22345,,455,0.452474486,8.874558067,50:01:00,2020,Comprehensive MCO
New Mexico,All,Bcbs,Pediatric Dental,29668,,457,0.502124059,9.750505595,65:01:00,2021,Comprehensive MCO
New Mexico,All,Bcbs,Pediatric Dental,38169,,448,0.52583796,10.00047159,86:01:00,2022,Comprehensive MCO
New Mexico,All,Bcbs,Pediatric Dental,48696,,459,0.525500183,10.43081567,107:01:00,2023,Comprehensive MCO
New Mexico,All,Bcbs,Pediatric Dental,65776,,416,0.512921287,9.759775602,159:01:00,2024,Comprehensive MCO
New Mexico,All,Bcbs,Pediatric Dental,22898,,299,0.187944252,5.781072583,77:01:00,2025,Comprehensive MCO
New Mexico,All,Molina,Pediatric Dental,5120,,290,0.219591697,7.23125,18:01,2024,Comprehensive MCO
New Mexico,All,Molina,Pediatric Dental,2233,,206,0.115436311,6.401701747,11:01,2025,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Pediatric Dental,35335,,422,0.463987919,8.187377954,84:01:00,2020,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Pediatric Dental,45615,,450,0.512315105,8.939953963,102:01:00,2021,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Pediatric Dental,58746,,447,0.544181264,9.110713921,132:01:00,2022,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Pediatric Dental,73627,,457,0.536792528,9.410433672,162:01:00,2023,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Pediatric Dental,97324,,415,0.53685337,9.210513337,235:01:00,2024,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Pediatric Dental,32844,,287,0.18910858,5.380830593,115:01:00,2025,Comprehensive MCO
New Mexico,All,United Healthcare,Pediatric Dental,3795,,216,0.17369216,6.437417655,18:01,2024,Comprehensive MCO
New Mexico,All,United Healthcare,Pediatric Dental,1784,,153,0.10329454,5.445067265,12:01,2025,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Pediatric Dental,5543,,329,0.379267875,8.457874797,17:01,2020,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Pediatric Dental,7530,,331,0.431964204,9.199335989,23:01,2021,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Pediatric Dental,9517,,316,0.429719601,9.336450562,31:01:00,2022,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Pediatric Dental,12455,,333,0.408668832,8.964431955,38:01:00,2023,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Pediatric Dental,12476,,262,0.345653017,6.289115101,48:01:00,2024,Comprehensive MCO
New Mexico,All,Bcbs,Prenatal Ob/Gyn,2167,,442,0.082070898,7.054453161,5:01,2020,Comprehensive MCO
New Mexico,All,Bcbs,Prenatal Ob/Gyn,2519,,453,0.074401158,7.489479952,6:01,2021,Comprehensive MCO
New Mexico,All,Bcbs,Prenatal Ob/Gyn,3162,,477,0.073454596,7.934218849,7:01,2022,Comprehensive MCO
New Mexico,All,Bcbs,Prenatal Ob/Gyn,3984,,466,0.070315396,8.773092369,9:01,2023,Comprehensive MCO
New Mexico,All,Bcbs,Prenatal Ob/Gyn,6309,,458,0.08390855,9.089396101,14:01,2024,Comprehensive MCO
New Mexico,All,Bcbs,Prenatal Ob/Gyn,2503,,264,0.038673692,4.840990811,10:01,2025,Comprehensive MCO
New Mexico,All,Molina,Prenatal Ob/Gyn,464,,305,0.0419113,7.323275862,2:01,2024,Comprehensive MCO
New Mexico,All,Molina,Prenatal Ob/Gyn,318,,175,0.032783505,4.761006289,2:01,2025,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Prenatal Ob/Gyn,2667,,471,0.07115985,8.712035996,6:01,2020,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Prenatal Ob/Gyn,3350,,484,0.070274806,10.90089552,7:01,2021,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Prenatal Ob/Gyn,4190,,509,0.069163599,10.80143198,9:01,2022,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Prenatal Ob/Gyn,5337,,490,0.06665834,10.36499906,11:01,2023,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Prenatal Ob/Gyn,8353,,477,0.082056269,9.43146175,18:01,2024,Comprehensive MCO
New Mexico,All,Presbyterian Hp,Prenatal Ob/Gyn,3237,,283,0.03642399,4.316342292,12:01,2025,Comprehensive MCO
New Mexico,All,United Healthcare,Prenatal Ob/Gyn,400,,281,0.040588534,4.375,2:01,2024,Comprehensive MCO
New Mexico,All,United Healthcare,Prenatal Ob/Gyn,194,,160,0.023186327,2.93814433,2:01,2025,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Prenatal Ob/Gyn,561,,428,0.071084643,7.153297683,2:01,2020,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Prenatal Ob/Gyn,736,,429,0.072128577,9.148097826,2:01,2021,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Prenatal Ob/Gyn,949,,444,0.070799761,9.928345627,3:01,2022,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Prenatal Ob/Gyn,1407,,450,0.072600619,11.44420753,4:01,2023,Comprehensive MCO
New Mexico,All,Western Sky Community Care,Prenatal Ob/Gyn,1451,,390,0.066437729,8.968297726,4:01,2024,Comprehensive MCO
Nevada,All,Amerigroup,Behavioral Health,24141,,1526,0.09810623,22.0140425,16:01,2020,Comprehensive MCO
Nevada,All,Amerigroup,Behavioral Health,28218,,1717,0.102932808,21.50131122,17:01,2021,Comprehensive MCO
Nevada,All,Amerigroup,Behavioral Health,24896,,1950,0.111785624,22.52863914,13:01,2022,Comprehensive MCO
Nevada,All,Amerigroup,Behavioral Health,27917,,2190,0.113792274,21.23448078,13:01,2023,Comprehensive MCO
Nevada,All,Amerigroup,Behavioral Health,28276,,2333,0.107024171,21.28402179,13:01,2024,Comprehensive MCO
Nevada,All,Amerigroup,Behavioral Health,13211,,1317,0.061420801,8.293467565,11:01,2025,Comprehensive MCO
Nevada,All,Hp Of Nevada,Behavioral Health,22423,,1157,0.077109304,13.36458101,20:01,2020,Comprehensive MCO
Nevada,All,Hp Of Nevada,Behavioral Health,26120,,1480,0.083526801,12.99831547,18:01,2021,Comprehensive MCO
Nevada,All,Hp Of Nevada,Behavioral Health,21736,,1793,0.089365814,15.72810085,13:01,2022,Comprehensive MCO
Nevada,All,Hp Of Nevada,Behavioral Health,23883,,2140,0.091743014,18.71084035,12:01,2023,Comprehensive MCO
Nevada,All,Hp Of Nevada,Behavioral Health,24243,,2407,0.089931113,24.32215485,11:01,2024,Comprehensive MCO
Nevada,All,Hp Of Nevada,Behavioral Health,9833,,1280,0.044882533,6.613851317,8:01,2025,Comprehensive MCO
Nevada,All,Molina,Behavioral Health,12363,,1769,0.06948941,16.08978403,7:01,2022,Comprehensive MCO
Nevada,All,Molina,Behavioral Health,10927,,1955,0.081859998,21.72471859,6:01,2023,Comprehensive MCO
Nevada,All,Molina,Behavioral Health,10723,,2086,0.084539577,25.60822531,6:01,2024,Comprehensive MCO
Nevada,All,Molina,Behavioral Health,4603,,1155,0.048799364,9.494460135,4:01,2025,Comprehensive MCO
Nevada,All,Silversummit Hp,Behavioral Health,7320,,1191,0.098414875,18.75860656,7:01,2020,Comprehensive MCO
Nevada,All,Silversummit Hp,Behavioral Health,7835,,1307,0.09271531,17.72916401,6:01,2021,Comprehensive MCO
Nevada,All,Silversummit Hp,Behavioral Health,13836,,1693,0.079849489,18.37330153,9:01,2022,Comprehensive MCO
Nevada,All,Silversummit Hp,Behavioral Health,13007,,1830,0.087368598,21.16452679,8:01,2023,Comprehensive MCO
Nevada,All,Silversummit Hp,Behavioral Health,12614,,2005,0.08977297,23.26708419,7:01,2024,Comprehensive MCO
Nevada,All,Silversummit Hp,Behavioral Health,5379,,1118,0.05196248,7.985127347,5:01,2025,Comprehensive MCO
Nevada,All,Liberty,Pediatric Dental,109342,,336,0.354856716,11.63742203,326:01:00,2020,Dental Specialty Plan
Nevada,All,Liberty,Pediatric Dental,133018,,345,0.397696661,12.25904013,386:01:00,2021,Dental Specialty Plan
Nevada,All,Liberty,Pediatric Dental,143938,,350,0.402710514,12.29126429,412:01:00,2022,Dental Specialty Plan
Nevada,All,Liberty,Pediatric Dental,148630,,363,0.402818619,12.1241203,410:01:00,2023,Dental Specialty Plan
Nevada,All,Liberty,Pediatric Dental,151334,,371,0.411709175,12.55109889,408:01:00,2024,Dental Specialty Plan
Nevada,All,Liberty,Pediatric Dental,33699,,272,0.10849087,6.284370456,124:01:00,2025,Dental Specialty Plan
Nevada,All,Amerigroup,Prenatal Ob/Gyn,6874,,355,0.10802571,4.993599069,20:01,2020,Comprehensive MCO
Nevada,All,Amerigroup,Prenatal Ob/Gyn,7082,,333,0.097634278,5.634425304,22:01,2021,Comprehensive MCO
Nevada,All,Amerigroup,Prenatal Ob/Gyn,5747,,332,0.095112788,6.109622412,18:01,2022,Comprehensive MCO
Nevada,All,Amerigroup,Prenatal Ob/Gyn,5974,,360,0.088432957,6.879645129,17:01,2023,Comprehensive MCO
Nevada,All,Amerigroup,Prenatal Ob/Gyn,6645,,396,0.091122264,7.981188864,17:01,2024,Comprehensive MCO
Nevada,All,Amerigroup,Prenatal Ob/Gyn,2423,,249,0.042167731,4.092034668,10:01,2025,Comprehensive MCO
Nevada,All,Hp Of Nevada,Prenatal Ob/Gyn,7716,,362,0.102208152,5.749870399,22:01,2020,Comprehensive MCO
Nevada,All,Hp Of Nevada,Prenatal Ob/Gyn,7832,,347,0.093933652,6.354570991,23:01,2021,Comprehensive MCO
Nevada,All,Hp Of Nevada,Prenatal Ob/Gyn,6015,,336,0.091070131,6.233083957,18:01,2022,Comprehensive MCO
Nevada,All,Hp Of Nevada,Prenatal Ob/Gyn,6067,,352,0.084470372,7.093786056,18:01,2023,Comprehensive MCO
Nevada,All,Hp Of Nevada,Prenatal Ob/Gyn,6516,,408,0.087937596,8.063382443,16:01,2024,Comprehensive MCO
Nevada,All,Hp Of Nevada,Prenatal Ob/Gyn,1650,,247,0.028358312,3.160606061,7:01,2025,Comprehensive MCO
Nevada,All,Molina,Prenatal Ob/Gyn,2681,,328,0.056158358,4.83923909,9:01,2022,Comprehensive MCO
Nevada,All,Molina,Prenatal Ob/Gyn,2646,,333,0.072746268,5.511337868,8:01,2023,Comprehensive MCO
Nevada,All,Molina,Prenatal Ob/Gyn,2600,,384,0.075408219,6.903076923,7:01,2024,Comprehensive MCO
Nevada,All,Molina,Prenatal Ob/Gyn,692,,219,0.028050263,3.355491329,4:01,2025,Comprehensive MCO
Nevada,All,Silversummit Hp,Prenatal Ob/Gyn,1919,,304,0.098658167,4.96925482,7:01,2020,Comprehensive MCO
Nevada,All,Silversummit Hp,Prenatal Ob/Gyn,2100,,277,0.094322673,5.863333333,8:01,2021,Comprehensive MCO
Nevada,All,Silversummit Hp,Prenatal Ob/Gyn,3386,,320,0.07325833,5.832250443,11:01,2022,Comprehensive MCO
Nevada,All,Silversummit Hp,Prenatal Ob/Gyn,3317,,345,0.082877346,6.896593307,10:01,2023,Comprehensive MCO
Nevada,All,Silversummit Hp,Prenatal Ob/Gyn,3106,,391,0.082820041,9.036703155,8:01,2024,Comprehensive MCO
Nevada,All,Silversummit Hp,Prenatal Ob/Gyn,907,,230,0.034074686,3.904079383,4:01,2025,Comprehensive MCO
Arizona,Apache,All,Behavioral Health,424,"10,346",27,0.040982022,85.47877358,16:01,2020,All
Arizona,Apache,All,Behavioral Health,640,"15,787",28,0.040539685,85.240625,23:01,2021,All
Arizona,Apache,All,Behavioral Health,742,"20,196",29,0.036739949,76.43530997,26:01:00,2022,All
Arizona,Apache,All,Behavioral Health,1037,"27,053",30,0.038332163,64.61427194,35:01:00,2023,All
Arizona,Apache,All,Behavioral Health,1302,"34,674",30,0.037549749,73.38402458,44:01:00,2024,All
Arizona,Apache,All,Behavioral Health,657,"33,864",18,0.019401134,13.34398782,37:01:00,2025,All
Arizona,Cochise,All,Behavioral Health,2973,"22,959",256,0.129491703,54.57147662,12:01,2020,All
Arizona,Cochise,All,Behavioral Health,3590,"27,248",253,0.131752789,55.55766017,15:01,2021,All
Arizona,Cochise,All,Behavioral Health,4578,"33,489",265,0.136701604,54.0303626,18:01,2022,All
Arizona,Cochise,All,Behavioral Health,6023,"41,365",242,0.145606189,53.6906857,25:01:00,2023,All
Arizona,Cochise,All,Behavioral Health,7405,"44,591",244,0.166064901,54.40027009,31:01:00,2024,All
Arizona,Cochise,All,Behavioral Health,4842,"40,744",169,0.118839584,10.17575382,29:01:00,2025,All
Arizona,Coconino,All,Behavioral Health,1870,"16,594",190,0.112691334,56.44224599,10:01,2020,All
Arizona,Coconino,All,Behavioral Health,2380,"21,348",197,0.111485853,57.49285714,13:01,2021,All
Arizona,Coconino,All,Behavioral Health,2896,"26,897",229,0.10767,51.72513812,13:01,2022,All
Arizona,Coconino,All,Behavioral Health,3722,"34,434",216,0.10809084,48.38393337,18:01,2023,All
Arizona,Coconino,All,Behavioral Health,4471,"38,538",212,0.116015361,56.1174234,22:01,2024,All
Arizona,Coconino,All,Behavioral Health,2508,"35,046",136,0.071563089,10.67424242,19:01,2025,All
Arizona,Gila,All,Behavioral Health,961,"6,844",111,0.140414962,61.64203954,9:01,2020,All
Arizona,Gila,All,Behavioral Health,1241,"8,274",107,0.149987914,58.05398872,12:01,2021,All
Arizona,Gila,All,Behavioral Health,1503,"10,399",101,0.144533128,54.1257485,15:01,2022,All
Arizona,Gila,All,Behavioral Health,1987,"13,201",93,0.1505189,55.15853045,22:01,2023,All
Arizona,Gila,All,Behavioral Health,2342,"13,930",97,0.168126346,56.97779675,25:01:00,2024,All
Arizona,Gila,All,Behavioral Health,1090,"12,458",62,0.08749398,10.9706422,18:01,2025,All
Arizona,Graham,All,Behavioral Health,702,"6,977",89,0.100616311,63.55982906,8:01,2020,All
Arizona,Graham,All,Behavioral Health,873,"8,683",93,0.100541288,65.25544101,10:01,2021,All
Arizona,Graham,All,Behavioral Health,1094,"11,316",102,0.096677271,62.36471664,11:01,2022,All
Arizona,Graham,All,Behavioral Health,1388,"15,069",106,0.092109629,61.43948127,14:01,2023,All
Arizona,Graham,All,Behavioral Health,1723,"18,305",103,0.094127288,59.14973883,17:01,2024,All
Arizona,Graham,All,Behavioral Health,931,"17,788",75,0.052338655,12.16863588,13:01,2025,All
Arizona,Greenlee,All,Behavioral Health,100,978,16,0.102249489,50.46,7:01,2020,All
Arizona,Greenlee,All,Behavioral Health,107,"1,178",12,0.090831919,59,9:01,2021,All
Arizona,Greenlee,All,Behavioral Health,120,"1,500",12,0.08,56.43333333,10:01,2022,All
Arizona,Greenlee,All,Behavioral Health,143,"1,862",10,0.076799141,55.04895105,15:01,2023,All
Arizona,Greenlee,All,Behavioral Health,183,"1,988",7,0.092052314,54.55191257,27:01:00,2024,All
Arizona,Greenlee,All,Behavioral Health,114,"1,760",6,0.064772727,11.85087719,19:01,2025,All
Arizona,La Paz,All,Behavioral Health,229,"3,316",34,0.069059107,51.02620087,7:01,2020,All
Arizona,La Paz,All,Behavioral Health,280,"4,062",30,0.068931561,41.83928571,10:01,2021,All
Arizona,La Paz,All,Behavioral Health,348,"4,878",32,0.071340713,40.11206897,11:01,2022,All
Arizona,La Paz,All,Behavioral Health,444,"6,119",25,0.072560876,34.76576577,18:01,2023,All
Arizona,La Paz,All,Behavioral Health,549,"6,886",18,0.079726982,32.54644809,31:01:00,2024,All
Arizona,La Paz,All,Behavioral Health,240,"6,302",15,0.038083148,9.595833333,16:01,2025,All
Arizona,Maricopa,All,Behavioral Health,81382,"635,156",3294,0.128129153,79.10170554,25:01:00,2020,All
Arizona,Maricopa,All,Behavioral Health,104725,"767,426",3627,0.136462669,77.19134877,29:01:00,2021,All
Arizona,Maricopa,All,Behavioral Health,126751,"935,616",3994,0.135473314,74.42212685,32:01:00,2022,All
Arizona,Maricopa,All,Behavioral Health,162198,"1,168,972",4138,0.138752682,71.46482694,40:01:00,2023,All
Arizona,Maricopa,All,Behavioral Health,194054,"1,250,378",4400,0.155196269,73.90683006,45:01:00,2024,All
Arizona,Maricopa,All,Behavioral Health,102723,"1,109,422",2886,0.092591458,14.06282916,36:01:00,2025,All
Arizona,Mohave,All,Behavioral Health,5450,"43,688",198,0.124748215,58.91357798,28:01:00,2020,All
Arizona,Mohave,All,Behavioral Health,6590,"51,378",207,0.128265016,58.36221548,32:01:00,2021,All
Arizona,Mohave,All,Behavioral Health,7905,"61,641",189,0.128242566,57.37571157,42:01:00,2022,All
Arizona,Mohave,All,Behavioral Health,9841,"74,968",150,0.131269342,57.7156793,66:01:00,2023,All
Arizona,Mohave,All,Behavioral Health,11546,"78,712",173,0.146686655,64.26138923,67:01:00,2024,All
Arizona,Mohave,All,Behavioral Health,6940,"69,820",119,0.099398453,11.93804035,59:01:00,2025,All
Arizona,Navajo,All,Behavioral Health,1478,"19,138",121,0.077228551,58.86941813,13:01,2020,All
Arizona,Navajo,All,Behavioral Health,1938,"25,307",134,0.076579602,60.56398349,15:01,2021,All
Arizona,Navajo,All,Behavioral Health,2487,"32,308",150,0.076977838,57.4451146,17:01,2022,All
Arizona,Navajo,All,Behavioral Health,3431,"42,958",141,0.079868709,56.94229088,25:01:00,2023,All
Arizona,Navajo,All,Behavioral Health,4462,"53,156",149,0.083941606,62.7279247,30:01:00,2024,All
Arizona,Navajo,All,Behavioral Health,2277,"51,233",100,0.044444011,12.98858147,23:01,2025,All
Arizona,Pima,All,Behavioral Health,25046,"161,551",1072,0.155034633,59.35626447,24:01:00,2020,All
Arizona,Pima,All,Behavioral Health,31120,"194,264",1107,0.160194375,57.90330977,29:01:00,2021,All
Arizona,Pima,All,Behavioral Health,39123,"236,730",1194,0.165264225,56.45886052,33:01:00,2022,All
Arizona,Pima,All,Behavioral Health,50186,"295,054",1151,0.170090899,56.33351931,44:01:00,2023,All
Arizona,Pima,All,Behavioral Health,59285,"317,318",1185,0.186831507,60.25475247,51:01:00,2024,All
Arizona,Pima,All,Behavioral Health,34921,"287,816",804,0.121330989,11.35027634,44:01:00,2025,All
Arizona,Pinal,All,Behavioral Health,6523,"50,797",387,0.128413095,66.33420205,17:01,2020,All
Arizona,Pinal,All,Behavioral Health,8350,"63,543",415,0.131407079,64.70227545,21:01,2021,All
Arizona,Pinal,All,Behavioral Health,10678,"81,365",443,0.131235789,62.44259225,25:01:00,2022,All
Arizona,Pinal,All,Behavioral Health,13999,"106,716",439,0.131179954,62.06543325,32:01:00,2023,All
Arizona,Pinal,All,Behavioral Health,17537,"122,695",451,0.14293166,64.15407424,39:01:00,2024,All
Arizona,Pinal,All,Behavioral Health,9321,"113,747",291,0.081945018,12.00085828,33:01:00,2025,All
Arizona,Santa Cruz,All,Behavioral Health,865,"13,850",95,0.062454874,59.73294798,10:01,2020,All
Arizona,Santa Cruz,All,Behavioral Health,1072,"16,083",95,0.066654231,63.80037313,12:01,2021,All
Arizona,Santa Cruz,All,Behavioral Health,1341,"18,974",95,0.070675661,64.15510813,15:01,2022,All
Arizona,Santa Cruz,All,Behavioral Health,2044,"22,929",84,0.089144751,54.7925636,25:01:00,2023,All
Arizona,Santa Cruz,All,Behavioral Health,2400,"23,664",80,0.101419878,52.28625,30:01:00,2024,All
Arizona,Santa Cruz,All,Behavioral Health,1498,"21,617",47,0.069297312,9.032042724,32:01:00,2025,All
Arizona,Yavapai,All,Behavioral Health,5030,"31,812",249,0.158116434,56.40755467,21:01,2020,All
Arizona,Yavapai,All,Behavioral Health,6253,"38,244",265,0.163502772,55.67023829,24:01:00,2021,All
Arizona,Yavapai,All,Behavioral Health,7715,"46,329",288,0.166526366,52.73882048,27:01:00,2022,All
Arizona,Yavapai,All,Behavioral Health,10108,"56,995",288,0.17734889,52.54244163,36:01:00,2023,All
Arizona,Yavapai,All,Behavioral Health,11009,"58,909",289,0.186881461,60.78090653,39:01:00,2024,All
